id	title	note_old	note_new	kind	index	mal_url	status
83	Mirai Nikki	โรคจิตผมชมพู	Kuusou Mesorogiwi	opening	1	https://myanimelist.net/anime/8460	ok
84	Guilty Crown	โรคระบาดเหล็ก	Euterpe	opening	1	https://myanimelist.net/anime/10793	ok
280	Guilty Crown (OP2)	โรคระบาดที่ชื่อว่าอัลฟ่า	My Dearest	opening	2	https://myanimelist.net/anime/10793	ok
86	Fate/Grand Order - Absolute Demonic Front: Babylonia	น้องโล่่ผมชมพู	Phantom Joke	opening	1	https://myanimelist.net/anime/38084	ok
88	Soul Eater	พระเอกกินวิญญาณ	Counter Identity	opening	1	https://myanimelist.net/anime/3588	ok
89	Blue Exorcist	ไฟสีฟ้าซาตาน	CORE PRIDE	opening	1	https://myanimelist.net/anime/9919	ok
283	Blue Exorcist (OP2)	ซาตานไฟสีฟ้า	IN MY WORLD	opening	2	https://myanimelist.net/anime/9919	ok
90	Noragami	เทพยาจก	Goya no Machiawase (午夜の待ち合わせ)	opening	1	https://myanimelist.net/anime/20507	ok
282	Noragami Aragoto	เทพขาจร	Kyouran Hey Kids!! (狂乱Hey Kids!!)	opening	1	https://myanimelist.net/anime/30503	ok
96	Bocchi the Rock!	สาวผมชมพูเล่นกีต้าร์	Seishun Complex (青春コンプレックス)	opening	1	https://myanimelist.net/anime/47917	ok
98	No Game No Life: Zero	ไม่มีภาค2	THERE IS A REASON	opening	1	https://myanimelist.net/anime/33674	ok_other_section
99	Black Butler	พ่อบ้านเก	Monochrome no Kiss (モノクロのキス)	opening	1	https://myanimelist.net/anime/4898	ok
191	Solo Leveling	จักรพรรดเงา	LEveL	opening	1	https://myanimelist.net/anime/52299	ok
257	Sword Art Online: Alicization	ดาบศิลปะออนไลน์	ADAMAS	opening	1	https://myanimelist.net/anime/36474	ok
258	Tokyo Ghoul:re	ซอยจุ๊แซ่บๆ	asphyxia	opening	1	https://myanimelist.net/anime/36511	ok
276	Toradora! (OP2)	เตี้ยกับสูง	silky heart	opening	2	https://myanimelist.net/anime/4224	ok
