id	title	note_old	note_new	kind	index	mal_url	status
277	Angel Beats! (ED1)	ตัวละครในเรื่องนี้ตายกันหมดเลยนะ	Brave Song	ending	1	https://myanimelist.net/anime/6547	ok
281	Psycho-Pass (ED1)	พระเอกในเรื่องนี้เป็นตำรวจที่มีความสุข	Namae no nai Kaibutsu (名前のない怪物)	ending	1	https://myanimelist.net/anime/13601	ok
284	Sword Art Online II (OP2)	คนคอนมีปืน	courage	opening	2	https://myanimelist.net/anime/21881	ok
286	KonoSuba Season 2	ต่างโลกโคตรปั่น	TOMORROW	opening	1	https://myanimelist.net/anime/34626	ok
289	Shokugeki no Soma (OP2)	ทำอาหารที่มากกว่าแค่การทำอาหาร	Rising Rainbow (ライジングレインボウ)	opening	2	https://myanimelist.net/anime/28171	ok
290	No Game No Life (ED)	เก่งเกมเก่งทุกอย่าง	This game	ending	1	https://myanimelist.net/anime/19815	ok
291	Overlord III	กระดูกโคตรเท่	VORACITY	opening	1	https://myanimelist.net/anime/37675	ok
292	The Rising of the Shield Hero (OP2)	กูมีโล่	FAITH	opening	2	https://myanimelist.net/anime/35790	ok
294	Mushoku Tensei Season 2	รูเดียส	Mezame no Uta (目覚めの唄)	opening	1	https://myanimelist.net/anime/45576	ok
295	Spy x Family Season 2	พ่อสปายแม่นักฆ่า	Kura Kura (クラクラ)	opening	1	https://myanimelist.net/anime/53887	ok
296	Oshi no Ko (ED)	ไอดอล	Idol (アイドル)	ending	1	https://myanimelist.net/anime/52034	ok
297	Frieren: Beyond Journey's End (OP2)	เอลฟ์ลืมผัวเก่าไม่ได้	Haru (晴る)	opening	2	https://myanimelist.net/anime/52991	ok
298	The Apothecary Diaries (OP2)	ตำยาโคมแดง	Ambivalent (アンビバレント)	opening	2	https://myanimelist.net/anime/54492	ok
299	Mashle Season 1	เวทย์มนตร์ที่ใช้กล้ามเนื้อ		opening	1	https://myanimelist.net/anime/38070	no_theme_songs
300	Chainsaw Man (ED3)	โปจิตะ	Hawatari 2-oku Centi (刃渡り2億センチ)	ending	3	https://myanimelist.net/anime/44511	ok
304	Coppelion	โลกนิวเคลียร์	ANGEL	opening	1	https://myanimelist.net/anime/9479	ok
305	Madan no Ou to Vanadis	สงครามที่มีแต่ผู้หญิงกับพระเอกใช้ธนู	Ginsen no Kaze (銀閃の風)	opening	1	https://myanimelist.net/anime/24455	ok
306	Girls und Panzer	รถถัง	DreamRiser	opening	1	https://myanimelist.net/anime/14131	ok
385	Girls und Panzer das Finale	Grand symphony	DreamRiser	opening	1	https://myanimelist.net/anime/14131	ok
386	Girls und Panzer das Finale (Part 4)	Never Say Goodbye	Never Say Goodbye	opening	1	https://myanimelist.net/anime/39167	ok
307	Drifters	ตัวละครในประวัติศาสตร์ที่ถูกส่งไปต่างโลกเพื่อสู้กันเอง	Gospel Of The Throttle 狂奔REMIX ver.	opening	1	https://myanimelist.net/anime/31339	ok
308	Qualidea Code	หลอนทั้งเรื่อง	Brave Freak Out	opening	1	https://myanimelist.net/anime/32360	ok
310	Mahouka Koukou no Rettousei (OP1)	เทพทัต	Rising Hope	opening	1	https://myanimelist.net/anime/20785	ok
311	Mahouka Koukou no Rettousei (OP2)	เวทมนตร์ที่ใช้วิทยาศาสตร์อธิบายได้	grilletto	opening	2	https://myanimelist.net/anime/20785	ok
312	Mahouka Koukou no Rettousei: Visitor Arc	มีเวทย์มนต์ภาคที่มีผมเหลือง	Rising Hope	opening	1	https://myanimelist.net/anime/20785	ok
316	Absolute Duo	นางเอกผมขาวน่ารักสัส	Absolute Soul	opening	1	https://myanimelist.net/anime/25397	ok
317	Seiken Tsukai no World Break	ผู้กล้าผมดำกับนางเอกผมขาวที่มีพลังเวทย์มนต์ที่ใช้ดาบเป็นอาวุธ	Hi no Ito Rinne no Gemini (緋ノ糸輪廻ノGEMINI)	opening	1	https://myanimelist.net/anime/22663	ok
318	Isekai wa Smartphone to Tomo ni (OP1)	สมาร์ทโฟนที่ใช้ได้ทุกอย่าง	Another World	opening	1	https://myanimelist.net/anime/35203	ok
